Парамонов	Ах ты, голубь, голубь! А жениха все нет.
Иван Тимофеевич	Явится, Онуфрий Петрович, беспременно явится.
Фаинушка	А у нас сегодня Полкан Самсоныч к фараонам уезжает.
Рассказчик	Сегодня?
Фаинушка	Да, отпразднуем свадьбу и провожать поедем.
Редедя	Заждался Араби-паша.
Рассказчик	А жалко вам его?
Фаинушка	Мне-то? Засыпает он уж больно часто. Надоел.
Рассказчик	А вам нужно…
