Канцлер	Иванищенко, начинай.
Иванищенко	Вера Ивановна Кузнецова?
Вера	Да это я.
Иванищенко	Громче отвечай. Знакома с Никифоровым?
Вера	Да, знакома.
Иванищенко	При каких обстоятельствах познакомились?
Вера	Он продавал рыбу и дичь в лавку моего батюшки. А я принимала. Чистила и ощипывала.
Иванищенко	Он просил отправить тебя письмо по почте?
Вера	Нет, он не просил ничего отправлять. Я по своей воле отправила.
