SerFed	Зачем усложнять?
Sorse	Ещё вот вариант)
Ivanizza	@moderator, баян было уже #comment_190313145
ZloyZaec	Ты доносов никогда не писал?
Ivanizza	Это была шутка, но по минусам вижу что тонкость ушла с Пикабу.
FreeWan	Когда дюзнул жижей, но сделал вид, что так и задумано
Ivanizza	А я и не отрицаю что у меня кисель плещется
doyarkazzzombie	Да нет, вероятно было бы смешно, но только не надо звать реального модератора на такое дело :)
	Это иногда очень отвлекает ;)
Andrey1014	@Moclerator для этого есть)
