sinida1	а национальность ребенка какая?
NESnekofe	А разве это имеет значение? (Басын жұмыс істейма сіздің?)
PandarenNaVrive	есть вероятность что похуй им было из-за национальности жертвы
NESnekofe	Мля незнаю каким надо быть человеком(если можно их так назвать)... но мне стало интересно
	в какую сторону клонете? Типа если представитель титульной нации то нормально - или другой нации тоже нормально?
PandarenNaVrive	я клоню к тому что на их решение могло повлиять что то
	ведь почему то они так поступили
NESnekofe	Я предпологаю тут дело в гребанной статистики и показателях , так же как в правоохранительных органах мол нет 1.преступления + 2. раскрываемости = значит неработаете... наше правительство не приемлет отсутствия их как такового...
ElectroDobby	Типа если этих же мразей вообще не проверять, то похуизмом они убьют меньше, чем осознанно?
NESnekofe	не совсем то, я лишь имел ввиду как эту статистику у нас используют и в каких целях... в целом вся это ситуация показатель деградации всей системы нашей страны! Да и вообще кто кого там проверял это дерьмо просто всплыло и поднялся шум, а так развели бы по свойски
