Dzis	ложь в письменном виде
K112	"Трасса 60"
	Замечательный фильм
goodwin98	Ровно до тех пор, пока не задумаешься о том какой же главный герой мудак.
someone32	обоснуй
goodwin98	Взять самое начало фильма. Герой поссорился с батей из-за того, что тот подарил ему машину не того, блять, цвета. И в целом, он по фильму ведёт себя так, как будто ему все должны.
someone32	Батя подарил ему подарок такой какой хотел себе, не удосужившись подумать чего хочет сын. Хотел чтобы сын в жизни делал то что хотел сам. И дело не в цвете машины. А не в желании прислушиваться к желаниям других.
goodwin98	Если тебе не нравится цвет - возьми да перекрась, а не выебывайся как девчонка. Это вообще то машина. Весьма не дешёвый подарок и что то я не помню по фильму, чтобы главный герой что то имел против хороших автомобилей.
	И да, сын весь фильм ведёт себя как сын богатого папеньки и в конце просто получает то, что хочет, а не меняется.
