Dark.Ink69	Мотивации пост! Все! Срочняк изучаю юнити и 3д ))
Dopp	Изучи блендер, скачай готовые модельки, в том числе и известных героинь и ставь их в разные позы или рендерь анимации. Ещё и заработать прилично можешь
kdargosun	Звучит как бизнес-план.
EvilZumi	Как ни странно, но да. Уже немало людей зарабатывают этим неплохие деньги, особенно через Patreon.
kdargosun	А это законно в РФ?
Cosmics	Порно нет, но если есть сюжет, то это уже произведение искусства с элементами эротики)
kdargosun	Т.е. те кто пишет порнорассказы не нарушает закон?
Cosmics	Порно это половой акт с демонстрацией возбужденных половых органов с целью вызвать возбуждение. То что описано выше, не будет считаться порно, если происходит в художественном произведении. Только вот является ли произведение художественным будет устанавливать эксперт.
	Вряд ли эксперт назовет художественным произведение, в котором 50% времени описывается секс и наоборот вряд ли назовет порно с 5% секса. Если честно, то я таких дел с нулевых не помню, сейчас только за порно в Вконтакте сажают.
