zpeople86	В Крыму при СССР так же делали, а сейчас хер забили.
mr.Anthony	У моих соседей сверху две таких штуки стоит! Работают безпрерывно...
OLDFOGEY	бес-
Pro100Nnck	Может и чёрт, я к ним не хожу
OLDFOGEY	Впервые вживую вижу человека из этой секты, кайф.
	А вы правда думаете, что если будете писать через "бес-", то у вас карма испортится или в ад прямиком отправитесь или еще хуйня какая случится?
cheburen	вам как предполагаемому олдфагу следовало помнить, что приставка "беС" появилась только после реформы Луначарского, а до этого существовала только приставка "беЗ" и для многих она осталась единственно верной по смыслу.
OLDFOGEY	Это ты про 1918 год? Серьезно?
cheburen	ну если быль точным то про 1921
