Joz1n	Читал только одно фэнтези по индийской мифологии, мозг выносит хорошо
deLynce	Мессия очищает диск?
Tyataan	Чёрный баламут. Мессия по китайской мифологии
deLynce	точно! читал обе книги, но уже достаточно давно. И в "черном баламуте" у Олди есть один оборот, который стилистически не подходит книге -- единственный раз, когда стиль подвел их)
Tyataan	Я баламута лет 15 тому назад читал, и чёт как то желания перечитать пока не возникает
deLynce	Это в хорошем смысле слова пройденный этап -- я с большим удовольствием читал практически все написанные этим дуэтом книги. Но и перечитывать я сейчас их не буду. Уже другой возраст, опыт и т.д.
Tyataan	По большей части я с вами согласен. Но те же "Герой должен быть один", "Ойкумена", "Песни Петера Сьлядека" или "чистая фэнтези" я переодически перечитываю
Ushedshiy	У меня так со стальной крысой Гарри Гаррисона, стражей дядюшки Терри и дайвером Лукьяненко. Должно быть пришло время пополнить коллекцию.
Tyataan	Планета смерти, цвет волшебства и квази. Если говорить о коллекции то не так давно открыл для себя выбраковку Дивова( ахриненная книга) и Эльтерруса, как автора.
