nicksolver	Все что нужно знать о понтах, механическая клава за 10тку и дошик говяжий
pilotadidasa	У меня топовый комп с видяхой за 62к (3060ti), гарнитура дорогая и завтра наконец-то приедет нормальное игровое кресло за 16к и при этом я позавтракал пюрешкой ролтон, потому что мне просто нравится.
	p.s в холодильнике есть еда, жена готовить умеет, но я просто захотел пюрешку в стаканчике.
	p.p.s и на карте у меня денег нормально.
	А знаете почему у меня все это есть и Я не брезгую дошиком или шавермой перекусить? Потому что я просто иногда люблю шавуху и дошики. Перестаньте сравнивать дошик с бедностью. Он, сука, вкусный.
DarksideF	>Топовый
	>3060ti
pilotadidasa	3060ti стал плохим?
DarksideF	Нет, но это далеко не топовая видеокарта.
pilotadidasa	Это топовая линейка rtx 3000 серии полностью. Если для вас топ это только 3090, то вы Ужаснетесь когда узнаете, что сама фраза "Топ" Имеет определение высшего разряда. Т.е для максималистичного подростка, как вы, я посоветую перестать категиризировать вещи на абсолютные и нет. Все относительно
