jigglifuff	А согласился бы на мелкую лающую хуйню, спал бы себе, а хуйня сходила в лоток.
Stalinko	Проще сразу кота.
porutchik1	рыбок
Stalinko	Вот уж точно вещь на любителя. За ними ухода умотаться. А отдачи никакой.
bolshoyHloroform	Надо просто аквариум большой взять. Чем больше аквариум - тем меньше ухода он требует.
Stalinko	Что-то меня одолевают сомнения.
bolshoyHloroform	Это во всех книгах по аквариумистики прописано. В принципе можете загуглить "чем больше аквариум тем меньше ухода" и ознакомиться. Вот для примера вам https://www.nkj.ru/archive/articles/5801/
Stalinko	Окей, спорить не буду. Ухода меньше. Но тем не менее он требуется.
Serathil	Да просто рыбок почаще докупай, чо ты.
