tiim	Корректные будет.
	"Когда Британия нашла земли на которой установлен флаг тех с кем можно не считаться."
Jorgy	А ты шаришь в геополитике
Ku.pakabra	Марс еще вроде не занят)
spam312sn	Британия уже снарядила колонизаторский корабль
Praetoriani	ты тише, там территория Илона Маска. Если Британия будет так скорая вести, поедет в Россию, за батутами
obosratushki	Маску некогда, он еще обещанные электростанции на солнечных элементах не построил.
	И эти, как их... настенные накопители энергии. Про которые все забыли.
	Сделает - потом можно и на Марс, сразу на Гиперлупе :))
