Tonnay	Они строят дом для карликов?
DedaVova	А прикинь размер колеса для этого ;-)
rrrrex	Как эта херня еще не развалилась? Пролет большой для такой толщины. Или это изощренный способ казни, как тех, кто сверху стоит, так и тех, кто снизу остался.
1041618	Подозреваю, что материал лёгкий и прочный. А вообще, круг - это наиболее прочная структура, и такой навес держится благодаря грамотному расчёту.
vladimir0110	Не круг а арка, полукруг
1041618	В данном случае да, но обобщённо именно круг, так как и туннели круглые строят, и бочки круглые и другие вещи. В общем и целом самая прочная структура - круг, а остальное - "обрезки".
Whistler	попрошу, круг - обрезок от шара
pjwolf	Не обрезок, а срез
gugr	Не срез, а проекция на плоскость
pjwolf	Мое почтение
