ajw108	какой дурмстранг? роулинг же сказала что в россии есть своя школа. их там тип 12 чет такое
ForLiberty	Официальный герб Дурмстранга по вселенной ГП. Двуглавый орёл, купол-луковица и надпись на русском. По словам Роулинг Дурмстранг находится в Скандинавии (куда входит также Кольский п-ов России). Почти все действующие лица Дурмстранга - славяне. Их форма - посохи, меховые тулупы и русские косоворотки (в фильме же). Хммммм...
	Колдовстворец потом уже придумали.
Metuzel	Стран, где был в качестве герба двуглавый орёл - херова туча, плюс кириллицей далеко не только в России пользуются
stteel	Дурмстранг скорее с я Польшей ассоциировалось.
AliceRizen	У меня Дурмстранг почему-то с Болгарией ассоциировался)
	Возможно, потому что кириллица как раз и Крам был в сборной Болгарии по квиддичу)
YJMorgan	Видимо не Болгария и даже не Польша
Gazebr0	Ну почему, Польша вполне подходит. Озёра есть, горы есть, зимой световой день короткий.
