С.БУНТМАН	То есть, нерентабельно оказалось вообще держать такие самолеты.
А.ТУЛЯКОВ	Да.
А.КУРЕННОЙ	Это примерно как с «Шатлами» и прочими. Скажите, вот в следующем году будет у нас новый «Макс».
А.ЕРМОЛИН	Через год.
А.КУРЕННОЙ	Через год, да, правильно. Уже наверняка какие-то планы просматриваете и готовите? Если можно приоткрыть завесу. С какими новинками выйдете?
А.ТУЛЯКОВ	Ну, у нас безусловно будет представлен уже серийный самолет 476-й, я говорил об этом. Ну и могу сказать, что по планам ОАК у нас в 15-м году должен совершить первый полет «МС-21». Я вам гарантий никаких не даю, соответственно просто ставлю вас в известность соответственно, что такой вот между…
А.КУРЕННОЙ	Что такие планы есть.
А.ТУЛЯКОВ	Что такие планы есть, да.
А.КУРЕННОЙ	Экономики коснемся немножко. Понятно, что всех сумм наверняка зазвать нельзя, это правила бизнеса. Но все-таки, количество самолетов вы говорили, которые контракты заключены. Это насколько существенная сумма в рамках корпорации, и в рамках вообще в принципе авиарынка и российского, и зарубежного. Вот этот вот итог для авиастроительной корпорации объединенной.
