Т.САМСОНОВА	В странах с ограниченным доступом к медиа популярность Secret выше?
–	Мы этого не наблюдаем пока. Сложно сказать. Мы работаем по всему миру, было бы интересно посмотреть.
	___________________________________
А.ПЛЮЩЕВ	В Финляндии на соревнованиях Hello World Open мне повезло встретиться с российскими участниками, двумя из трех, поскольку один из них не смог приехать – это Игорь Пышкин и Валентин Коновалов. И сегодня наше интервью с ними. Расскажите немного о себе. Вот Игорь, я знаю, ему всего 18 лет.
И.ПЫШКИН	Да.
А.ПЛЮЩЕВ	Расскажи, собственно, как ты сюда попал и чем ты занимаешься.
И.ПЫШКИН	Я попал сюда, у меня есть знакомый, с которым мы решили участвовать на соревновании. Он предложил мне, он был нашим идейным лидером, и я приехал сюда. Я занимаюсь… чем я занимаюсь? Я учусь в университете, я люблю кататься на разные олимпиады, участвовать в них, побеждать или не очень. Вот то, чем я занимаюсь.
А.ПЛЮЩЕВ	Ты живешь при этом в Санкт-Петербурге.
И.ПЫШКИН	Да, я живу в Санкт-Петербурге, я коренной питерец, если можно так сказать.
А.ПЛЮЩЕВ	Валентин, несколько слов о себе.
