П АЛЕШИН	И полноту информации.
А ГОГОЛЕВ	И полноту информации. Она, опять же у меня репутационных рисков, о которых я говорил вначале, но теперь еще и Роспотребнадзор может ко мне обратиться как регулятор за то, что я даю рекомендации своим подписчикам. Так ли это?
О ПАВЛОВ	Во-первых, мы смотрим на законопроект, видим там все признаки. Если вы деньги принимаете…
А ГОГОЛЕВ	То есть, все-таки обязан принимать.
О ПАВЛОВ	Насколько я это понимаю, да.
А ГОГОЛЕВ	Почему тогда Яндекс.Маркет так нервничает?
О ПАВЛОВ	Я вообще удивляюсь, почему они нервничают, если они, скажем так, для них это вопрос, может быть, пары кликов, базу данных немножко…
А ПЛЮЩЕВ	Возвращаемся к нашим слушателям, с вашего позволения. Я понимаю, что вы можете долго очень дискутировать, и, надо сказать, плодотворно, что бывает редко в дискуссиях. Значит, что нам тут пишут? Например, пользователь Твиттера Атта пишет нам: «По законопроекту, агрегатор – посредник, который: 1) вступает с потребителем в отношения через интернет». Правильно? Просто я не имею документа…
О ПАВЛОВ	Да-да, привязка к сети Интернет там есть, там признак есть.
